1097510,1008,70
1097510,1003,1.03
1097510,1004,4.38
1097510,1005,6.89
1097511,1004,1.99
1097511,1003,3.34
1097511,1005,4.87
1097511,1008,51
1097512,1005,4.67
1097512,1004,3.2
1097512,1008,60
1097512,1003,3.28
1097513,1008,61
1097513,1003,3.1
1097513,1004,3.46
1097513,1005,4.46
1097514,1008,60
1097514,1003,3.28
1097514,1005,4.67
1097514,1004,3.2
1097515,1005,5.19
1097515,1004,0.95
1097515,1008,43
1097515,1003,3.38
1097516,1004,0.18
1097516,1005,4.85
1097516,1008,35
1097516,1003,3.4
1097517,1005,4.91
1097517,1008,50
1097517,1003,3.35
1097517,1004,1.9
1097518,1003,3.38
1097518,1004,0.95
1097518,1008,43
1097518,1005,5.19
1097519,1004,1.9
1097519,1003,3.35
1097519,1008,50
1097519,1005,4.91
1097520,1003,3.38
1097520,1005,5.19
1097520,1004,0.95
1097520,1008,43
1097521,1005,4.89
1097521,1003,3.43
1097521,1004,0.08
1097521,1008,34
1097522,1004,0.95
1097522,1008,43
1097522,1005,5.19
1097522,1003,3.38
1097523,1005,4.89
1097523,1008,34
1097523,1004,0.08
1097523,1003,3.43
1097524,1005,4.91
1097524,1003,3.35
1097524,1004,1.9
1097524,1008,50
1097525,1003,3.28
1097525,1005,4.67
1097525,1008,60
1097525,1004,3.2
1097526,1004,1.07
1097526,1003,3.31
1097526,1008,40
1097526,1005,4.79
1097527,1005,4.79
1097527,1003,3.31
1097527,1008,40
1097527,1004,1.07
1097528,1005,5.3
1097528,1004,2
1097528,1008,56
1097528,1003,4.1
1097529,1003,3.21
1097529,1005,4.88
1097529,1008,62
1097529,1004,3.31
1097530,1003,3.59
1097530,1005,7.48
1097530,1008,52
1097530,1004,0.96
1097531,1003,3.56
1097531,1004,4.14
1097531,1008,69
1097531,1005,4.45
1097532,1003,3.2
1097532,1004,0.07
1097532,1008,32
1097532,1005,4.6
1097533,1003,4.01
1097533,1005,5.86
1097533,1004,4.08
1097533,1008,76
1097534,1003,3.17
1097534,1005,4.55
1097534,1004,1.01
1097534,1008,40
1097535,1005,4.6
1097535,1008,32
1097535,1004,0.07
1097535,1003,3.2
1097536,1003,6.81
1097536,1008,134
1097536,1005,10.04
1097536,1004,7.56
1097537,1005,10.04
1097537,1008,134
1097537,1003,6.81
1097537,1004,7.56
1097538,1003,7.42
1097538,1005,11.15
1097538,1008,92
1097538,1004,1.96
1097539,1003,7.55
1097539,1008,78
1097539,1004,0.2
1097539,1005,11.35
1097540,1008,321
1097540,1003,7.91
1097540,1005,54.4
1097540,1004,8.7
1097541,1008,29
1097541,1005,3.75
1097541,1003,1.04
1097541,1004,1.17
1097542,1003,2.6
1097542,1008,43
1097542,1005,4.92
1097542,1004,1.47
1097543,1008,30
1097543,1004,0.77
1097543,1003,2.38
1097543,1005,3.51
1097544,1008,28
1097544,1003,2.47
1097544,1005,4.14
1097544,1004,0.04
1097545,1004,1.53
1097545,1005,9.95
1097545,1003,2.26
1097545,1008,63
1097546,1004,0.64
1097546,1008,47
1097546,1003,2.1
1097546,1005,8.24
1097547,1003,2.1
1097547,1008,47
1097547,1005,8.24
